system:index,plot_id,lng,lat,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,.geo
10,SR 5B,144.6766985,-38.20223361,2988.040088,1027.885463,1990.142511,1611.328634,2710.492952,2253.51674,2038.527533,2109.180396,2350.078414,2440.181057,2493.666079,2463.493612,1528.903524,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6501827,-38.227742337010724],[144.6501347053428,-38.22774770932393],[144.65009053104038,-38.227763398629676],[144.65005369335364,-38.22778815606533],[144.65002712455916,-38.227820010947056],[144.65001293954128,-38.227856427633725],[144.65001226744457,-38.22789450736162],[144.65002516178868,-38.22793121898463],[144.65005059620148,-38.22796364025341],[144.65008654611313,-38.227989190427664],[144.65013014990856,-38.22800583570546],[144.65017793671282,-38.22801225111628],[144.6502261026768,-38.228007925990724],[144.6502708137696,-38.22799320461062],[144.65030851097373,-38.227969258803626],[144.65033619358732,-38.22793799466393],[144.65035165808163,-38.227901900824676],[144.65035367349938,-38.22786385036038],[144.65034207943393,-38.227826872088684],[144.65031779879124,-38.22779390947624],[144.65028276432076,-38.22776758633993],[144.65023976476544,-38.2277499979933],[144.65019222287805,-38.227742544462075],[144.6501827,-38.227742337010724]]]}"
11,SR 6A,144.6769394,-38.20232399,2975.004624,1027.654337,1989.059005,1613.284456,2708.154337,2253.28974,2045.179216,2114.13188,2352.660502,2439.706077,2481.248349,2465.444738,1521.646191,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6502258,-38.227770007010726],[144.65017780532452,-38.22777537932393],[144.6501336310053,-38.22779106862968],[144.65009679330453,-38.22781582606533],[144.65007022449996,-38.227847680947065],[144.65005603947668,-38.227884097633726],[144.65005536737974,-38.22792217736163],[144.65006826172873,-38.22795888898464],[144.65009369615123,-38.2279913102534],[144.65012964607655,-38.228016860427665],[144.65017324988855,-38.228033505705454],[144.650221036711,-38.228039921116284],[144.65026920269332,-38.228035595990725],[144.6503139138031,-38.22802087461062],[144.65035161102156,-38.22799692880363],[144.6503792936457,-38.227965664663934],[144.65039475814592,-38.22792957082468],[144.6503967735644,-38.22789152036038],[144.65038517949455,-38.22785454208869],[144.65036089884262,-38.227821579476235],[144.65032586435885,-38.227795256339945],[144.65028286478716,-38.22777766799331],[144.65023532288163,-38.22777021446208],[144.6502258,-38.227770007010726]]]}"
12,SR 6B,144.6769812,-38.20234761,2847,1023.3,1924.357582,1543.157802,2525.840659,2101.261319,1896.91978,1988.12044,2276.318681,2370.269231,2380.276923,2408.851429,1507.2,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6497694,-38.227785487010735],[144.64972140531432,-38.22779085932393],[144.64967723098573,-38.22780654862968],[144.6496403932771,-38.22783130606533],[144.64961382446688,-38.22786316094707],[144.64959963944057,-38.22789957763373],[144.64959896734348,-38.22793765736163],[144.6496118616952,-38.22797436898464],[144.64963729612313,-38.22800679025341],[144.6496732460561,-38.228032340427674],[144.64971684987736,-38.22804898570547],[144.64976463671,-38.228055401116286],[144.64981280270257,-38.22805107599073],[144.6498575138219,-38.22803635461062],[144.64989521104835,-38.228012408803636],[144.6499228936784,-38.22798114466393],[144.64993835818188,-38.22794505082468],[144.6499403736008,-38.22790700036038],[144.6499287795285,-38.227870022088695],[144.6499044988714,-38.227837059476244],[144.64986946438015,-38.22781073633994],[144.64982646479933,-38.2277931479933],[144.64977892288368,-38.227785694462085],[144.6497694,-38.227785487010735]]]}"
13,SR 7A,144.6767934,-38.20207547,2833.867958,1023.383143,1919.476893,1543.863556,2543.31404,2114.795775,1904.783231,1995.71963,2264.928257,2355.132702,2380.544454,2388.797535,1497.682438,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6498205,-38.227809327010725],[144.64977250529856,-38.22781469932392],[144.6497283309555,-38.22783038862967],[144.6496914932348,-38.22785514606532],[144.64966492441584,-38.22788700094706],[144.64965073938492,-38.227923417633725],[144.6496500672876,-38.22796149736162],[144.64966296164354,-38.22799820898463],[144.64968839607982,-38.22803063025339],[144.64972434602458,-38.228056180427664],[144.64976794986018,-38.22807282570545],[144.64981573670843,-38.228079241116276],[144.6498639027168,-38.228074915990724],[144.64990861385078,-38.22806019461062],[144.64994631108956,-38.22803624880362],[144.6499739937287,-38.228004984663926],[144.64998945823726,-38.22796889082467],[144.64999147365685,-38.22793084036038],[144.6499798795807,-38.227893862088685],[144.64995559891565,-38.227860899476234],[144.64992056441292,-38.22783457633993],[144.649877564818,-38.22781698799331],[144.64983002288682,-38.22780953446207],[144.6498205,-38.227809327010725]]]}"
14,SR 7B,144.6768458,-38.20208358,2844.757795,1025.168204,1929.928854,1565.219148,2619.530742,2209.067633,1999.528107,2060.604743,2299.438076,2367.074879,2409.221344,2387.628019,1464.040624,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.650028,-38.227918337010735],[144.64998000522664,-38.22792370932393],[144.64993583081736,-38.22793939862967],[144.64989899304146,-38.22796415606533],[144.6498724241827,-38.22799601094707],[144.6498582391305,-38.22803242763373],[144.64985756703217,-38.22807050736163],[144.64987046140746,-38.22810721898464],[144.64989589588183,-38.22813964025341],[144.64993184588047,-38.22816519042766],[144.64997544978138,-38.228181835705456],[144.6500232367013,-38.22818825111629],[144.65007140278183,-38.22818392599073],[144.65011611398282,-38.22816920461062],[144.65015381127813,-38.22814525880363],[144.65018149395874,-38.22811399466393],[144.65019695849045,-38.22807790082467],[144.65019897391306,-38.22803985036038],[144.65018737981956,-38.228002872088695],[144.65016309911812,-38.22796990947624],[144.65012806456286,-38.22794358633993],[144.65008506490352,-38.2279259979933],[144.65003752290107,-38.227918544462085],[144.650028,-38.227918337010735]]]}"
15,SR 9A,144.6769574,-38.20192614,2847.448724,1025.338688,1929.098151,1564.495819,2624.026408,2218.24978,2010.228433,2067.59375,2303.790273,2363.762104,2408.358055,2382.525968,1458.658671,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6500649,-38.227943547010725],[144.65001690521,-38.22794891932392],[144.6499727307854,-38.22796460862967],[144.64993589299675,-38.22798936606532],[144.64990932412877,-38.228021220947056],[144.64989513907167,-38.228057637633725],[144.6498944669731,-38.22809571736162],[144.64990736135286,-38.22813242898464],[144.64993279583604,-38.2281648502534],[144.64996874584713,-38.228190400427664],[144.65001234976316,-38.22820704570546],[144.65006013669964,-38.228213461116276],[144.65010830279687,-38.228209135990724],[144.65015301401334,-38.22819441461062],[144.65019071132173,-38.228170468803626],[144.65021839401194,-38.228139204663925],[144.65023385854903,-38.22810311082467],[144.65023587397232,-38.22806506036038],[144.6502242798748,-38.228028082088684],[144.65019999916495,-38.22799511947623],[144.65016496459756,-38.22796879633994],[144.6501219649233,-38.22795120799331],[144.65007442290437,-38.22794375446207],[144.6500649,-38.227943547010725]]]}"
16,SR 9B,144.6770089,-38.20194639,2728.090708,1022.630088,1880.402876,1517.568363,2476.359956,2075.064381,1852.529867,1960.548009,2226.224336,2330.124115,2337.013274,2382.114602,1442.55354,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6496457,-38.227935067010726],[144.64959770521563,-38.22794043932393],[144.64955353079617,-38.22795612862967],[144.64951669301183,-38.22798088606533],[144.64949012414695,-38.228012740947065],[144.64947593909147,-38.22804915763373],[144.649475266993,-38.22808723736163],[144.64948816137124,-38.22812394898463],[144.64951359585146,-38.2281563702534],[144.64954954585838,-38.228181920427666],[144.64959314976932,-38.22819856570547],[144.64964093670022,-38.22820498111627],[144.64968910279183,-38.228200655990726],[144.6497338140031,-38.22818593461062],[144.64977151130708,-38.228161988803635],[144.64979919399406,-38.22813072466393],[144.64981465852935,-38.22809463082468],[144.64981667395244,-38.22805658036038],[144.64980507985624,-38.22801960208869],[144.64978079914923,-38.227986639476235],[144.64974576458593,-38.22796031633993],[144.6497027649167,-38.22794272799331],[144.64965522290328,-38.22793527446208],[144.6496457,-38.227935067010726]]]}"
17,SR 8A,144.6771279,-38.20220248,2714.882899,1022.555678,1875.216748,1518.014361,2498.814848,2085.023862,1860.598763,1967.701944,2214.501989,2313.85506,2337.582413,2361.288997,1435.372956,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6496939,-38.22795721701072],[144.64964590520097,-38.22796258932392],[144.6496017307681,-38.227978278629664],[144.64956489297253,-38.228003036065324],[144.64953832409955,-38.22803489094706],[144.64952413903976,-38.22807130763371],[144.64952346694108,-38.22810938736162],[144.64953636132327,-38.22814609898464],[144.64956179581125,-38.22817852025339],[144.64959774582908,-38.22820407042766],[144.6496413497533,-38.228220715705454],[144.64968913669875,-38.22822713111628],[144.64973730280502,-38.228222805990725],[144.6497820140299,-38.22820808461062],[144.64981971134537,-38.22818413880362],[144.6498473940408,-38.22815287466393],[144.64986285858078,-38.22811678082467],[144.64986487400446,-38.22807873036038],[144.64985327990476,-38.228041752088686],[144.64982899919033,-38.228008789476235],[144.64979396461635,-38.22798246633993],[144.64975096493404,-38.2279648779933],[144.64970342290619,-38.227957424462076],[144.6496939,-38.22795721701072]]]}"
18,SR 8B,144.6771708,-38.20222679,2577.902589,1017.929355,1689.82251,1387.553752,2181.320316,1862.748574,1707.730364,1839.984862,2172.462703,2312.315928,2212.909609,2401.951075,1377.104651,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6203962,-38.25110638701073],[144.62034818991742,-38.251111759323926],[144.62030400141754,-38.25112744862965],[144.6202671518912,-38.25115220606528],[144.62024057455753,-38.251184060946976],[144.62022638498053,-38.25122047763363],[144.62022571266778,-38.25125855736153],[144.620238611156,-38.251295268984556],[144.62026405374337,-38.25132769025335],[144.6203000152093,-38.25135324042765],[144.62034363301896,-38.25136988570546],[144.6203914351819,-38.25137630111629],[144.62043961662644,-38.25137197599072],[144.62048434208938,-38.2513572546106],[144.62052205140932,-38.25133330880358],[144.62054974292008,-38.25130204466386],[144.6205652123846,-38.25126595082458],[144.62056722845003,-38.25122790036029],[144.62055563065817,-38.2511909220886],[144.62053134221168,-38.25115795947618],[144.62049629648118,-38.251131636339906],[144.6204532831059,-38.2511140479933],[144.62040572593867,-38.25110659446209],[144.6203962,-38.25110638701073]]]}"
19,SR 10A,144.6773219,-38.20208778,2581.94184,1017.72291,1676.89916,1382.971915,2197.651482,1885.834808,1746.41464,1866.57563,2141.605484,2268.899602,2169.195489,2319.250774,1355.702123,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6204436,-38.251134147010724],[144.6203955898991,-38.25113951932392],[144.62035140138232,-38.25115520862964],[144.6203145518419,-38.25117996606528],[144.62028797449807,-38.25121182094698],[144.62027378491564,-38.251248237633625],[144.62027311260263,-38.251286317361526],[144.62028601109577,-38.25132302898455],[144.6203114536929,-38.25135545025334],[144.62034741517255,-38.251381000427635],[144.62039103299884,-38.25139764570545],[144.6204388351801,-38.25140406111629],[144.62048701664304,-38.25139973599072],[144.62053174212303,-38.2513850146106],[144.62056945145738,-38.25136106880357],[144.62059714297874,-38.25132980466385],[144.62061261244915,-38.25129371082458],[144.62061462851534,-38.25125566036028],[144.62060303071908,-38.251218682088606],[144.6205787422633,-38.251185719476176],[144.6205436965194,-38.2511593963399],[144.62050068312772,-38.25114180799331],[144.6204531259423,-38.25113435446208],[144.6204436,-38.251134147010724]]]}"
